"","nombres","region","distrito","lista","genero","ideologia","sd1","ideologia2","sd2"
"30","Cantuarias, Rocío","VIII",20,"CV","m",1,0.205915323898305,0.814447732089096,0.430431814663806
"87","Marinovic, Teresa","RM",10,"CV","m",0.996884834189103,0.24319055654629,1,0.365778950915444
"97","Montealegre, Katerine","X",26,"CV","m",0.993064367501938,0.244200912784639,0.669244855013954,0.3613248131613
"15","Arrau, Martín","XVI",19,"CV","h",0.991092168355508,0.277835814338363,0.781770733202571,0.288593190629554
"44","Cubillos, Marcela","RM",11,"CV","m",0.906446495749817,0.239072159847941,0.840623181627412,0.413444133926045
"69","Hube, Constanza","RM",11,"CV","m",0.870143119147328,0.245703464875684,0.818986250370197,0.391642384020391
"80","Letelier, Margarita","XVI",19,"CV","m",0.849661350468228,0.206958855211916,0.453427757081525,0.265561791422397
"136","Ubilla, María Cecilia","X",25,"CV","m",0.829141082142833,0.262610738576607,0.483201870099136,0.34957359775627
"155","Zúñiga, Luis Arturo","RM",9,"CV","h",0.78576031086422,0.145975620037025,0.560123520050817,0.329023276939975
"74","Jurgensen, Harry","X",25,"CV","h",0.778091002278207,0.248338777158393,0.658109047259025,0.3482215725082
"90","Mayol, Luis","IX",23,"CV","h",0.744450839257504,0.19737623969182,0.509899208476902,0.348884917986859
"24","Bown, Carol","VI",15,"CV","m",0.722421837296102,0.198424750350429,0.609218306239084,0.287513988297431
"103","Neumann, Ricardo","VI",16,"CV","h",0.678886498030335,0.149422570683227,0.604231476030601,0.252508400921814
"76","Labra, Patricia","VII",18,"CV","m",0.677990592354469,0.21019927613129,0.219256103223737,0.336595354893687
"34","Castro, Claudia","RM",14,"CV","m",0.671016418376355,0.163658854880029,0.387010148991145,0.332086347715957
"37","Celis, Raúl","V",7,"CV","h",0.663820465613409,0.202788926317584,0.275494644848138,0.326875496625581
"7","Alvarez, Rodrigo","XII",28,"CV","h",0.645976170969403,0.179871772402102,0.592744513973058,0.265482211847427
"92","Mena, Felipe","XV ",24,"CV","h",0.645106070416647,0.156435430044504,0.432260256916974,0.261420975395872
"12","Arancibia, Jorge","V",7,"CV","h",0.63031585518186,0.21611021043322,0.517613138371451,0.286217316071612
"135","Toloza, Pablo","II",3,"CV","h",0.624191854803177,0.179941896452276,0.575619437162745,0.275405067582329
"71","Hurtado, Ruth","IX",22,"CV","m",0.611663395061413,0.147984032305281,0.415587065851019,0.260800403260576
"42","Cretton, Eduardo","IX",22,"CV","h",0.610136141277387,0.157388897639813,0.640173653010657,0.249141290501669
"99","Moreno, Alfredo","VII",17,"CV","h",0.592144745996982,0.157553301721694,0.611845154779676,0.316860466555845
"133","Tepper, María Angélica","IX",23,"CV","m",0.59163448560185,0.141376594528098,0.345672355772985,0.232172839667947
"73","Jofré, Alvaro","I",2,"CV","h",0.589418817887729,0.147800606624404,0.34308405371499,0.247460401950705
"118","Rivera, Pollyana","XIV",1,"CV","m",0.573479603584742,0.145161154008673,0.564537900541355,0.262313753521625
"144","Vega, Roberto","IV",5,"CV","h",0.543271976426393,0.143426366971519,0.468718829242549,0.238506691801471
"107","Ossandón, Manuel","RM",12,"CV","h",0.542705228812296,0.11610338873471,0.390320168424448,0.24957693930828
"146","Veloso, Paulina","VIII",21,"CV","m",0.528645110426382,0.192104316831737,0.464056301095131,0.257943511729025
"52","Fontaine, Bernardo","RM",11,"CV","h",0.527815805577573,0.148961860070746,0.267127403253113,0.306165477993724
"115","Rebolledo, Bárbara","VII",17,"CV","m",0.520173156952922,0.142310035701062,0.455790953350713,0.215126243760859
"130","Silva, Luciano","VIII",20,"CV","h",0.510813327254788,0.154496966671004,0.234983354310813,0.298902062212019
"41","Cozzi, Ruggero","V",6,"CV","h",0.471954598571949,0.139630660915176,0.207306483364935,0.231255381226019
"79","Larraín, Hernán","RM",11,"CV","h",0.432046250300862,0.122021198747369,0.256270636834156,0.224528136984331
"102","Navarrete, Geoconda","XI ",27,"CV","m",0.383930273904709,0.160906558146239,0.26264198010436,0.251536616732149
"96","Monckeberg, Cristian","RM",10,"CV","h",0.360614824235181,0.119090650037518,0.229072795326136,0.233680327292412
"43","Cruz, Andrés","VIII",20,"A","h",0.315843486745824,0.121960730340255,-0.443118363340244,0.2491001498113
"46","De la Maza, Bernardo","RM",8,"CV","h",0.297257656255313,0.110539241135435,0.384612065523725,0.169488262825234
"66","Harboe, Felipe","XVI",19,"A","h",0.129623454231944,0.159719111738174,0.217852338430139,0.302573559682176
"131","Squella, Agustín","V",7,"A","h",0.0618385385602054,0.111107285689496,0.165956712653993,0.160157518271043
"39","Chahín, Fuad","IX",22,"A","h",0.0599536626244587,0.107215419409196,0.278880226901941,0.145106231239725
"83","Logan, Rodrigo","RM",9,"O","h",0.0340229571870575,0.0922804810695907,0.434475330497519,0.1928146893376
"23","Botto, Miguel Ángel","V",6,"NN","h",0.027979717889865,0.0872976030667861,0.148570746241667,0.131994074103834
"32","Castillo, Eduardo","IX",23,"A","h",0.0128109027987665,0.0752309794984755,0.143519017965872,0.155596501865738
"78","Laibe, Tomás","XI ",27,"A","h",0.00829976777116426,0.109618085408825,-0.191972421957621,0.145493981972972
"33","Castillo, María Trinidad","IV",5,"O","m",0.00771874644832693,0.0951697252069328,-0.174643431204021,0.229855498549326
"20","Barceló, Luis","VIII",21,"A","h",0.00287825749182979,0.0787957665610993,0.153147185461867,0.123956454540489
"128","Sepúlveda, Carolina","XVI",19,"NN","m",-0.00550005167424295,0.109039956338081,0.0299109625639125,0.168194882425846
"70","Hurtado, Maximiliano","III",4,"A","h",-0.0068747994848275,0.0922365408012363,-0.208022618283769,0.182424554544598
"48","Domínguez, Gaspar","X",26,"O","h",-0.0193634270870455,0.0981525796004295,0.0980413382288869,0.0993585468118823
"50","Fernández, Patricio","RM",11,"A","h",-0.0262783460229961,0.102869968882492,0.097550127610343,0.127064423115872
"38","Céspedes, Lorena","IX",23,"NN","m",-0.0288956436035088,0.0936010723824981,-0.0607657004767854,0.121728256283974
"98","Montero, Ricardo","VII",18,"A","h",-0.0344352174999654,0.123387035662376,-0.291359592994227,0.207071316605478
"113","Pustilnick, Tammy","VIII",20,"NN","m",-0.043332392810628,0.069653966222313,0.169631872863566,0.120255181510825
"116","Reyes, María Ramona","XV ",24,"A","m",-0.0455758723063817,0.0920759181057035,-0.332650210074448,0.213559822768706
"139","Valenzuela, César","RM",9,"A","h",-0.0464653288252854,0.112030721940938,-0.296468276956573,0.231689231266468
"6","Alvarez, Julio","X",26,"A","h",-0.07369921017065,0.101392357435367,-0.188104938119042,0.162067874596627
"19","Baranda, Benito","RM",12,"NN","h",-0.078013498817014,0.0985158895837387,0.101499276030937,0.166498258603178
"106","Orellana, Matías","VI",15,"A","h",-0.0791108594401682,0.117867334806226,-0.349292303513373,0.157950911320605
"143","Vargas, Mario","X",25,"A","h",-0.0806586032094259,0.0998863227248882,-0.129709174095435,0.144930819278756
"28","Calvo, Carlos","IV",5,"A","h",-0.0807589591147579,0.126985794274652,-0.394610852433212,0.25538700373389
"100","Muñoz, Pedro","XV ",24,"A","h",-0.0822879731067556,0.106187100458117,-0.304721516182503,0.233907715048338
"140","Valenzuela, Paulina","RM",14,"NN","m",-0.0838153384534808,0.0711623767326103,0.0410586636744872,0.159021741857017
