"","candidato","X03082021_01","X03082021_02","X03082021_03","X10082021_01","X10082021_02","X12082021_01","X12082021_02","X12082021_03","X12082021_04","X12082021_05","X12082021_06","X12082021_07","X12082021_08","X12082021_09","X12082021_10","X12082021_11","X12082021_12","X12082021_13","X12082021_14","X12082021_15","X12082021_16","X12082021_17","X12082021_18","X12082021_19","X12082021_20","X12082021_21","X12082021_22","X12082021_23","X12082021_24","X12082021_25","X12082021_26","X12082021_27","X12082021_28","X12082021_29","X12082021_30","X12082021_31","X13072021_01","X13072021_02","X14072021_01","X14072021_02","X14072021_03","X14072021_04","X14072021_05","X14072021_06","X14072021_07","X14072021_08","X14072021_09","X14072021_10","X14072021_11","X14072021_12","X14072021_13","X14072021_14","X14072021_15","X14072021_16","X14072021_17","X14072021_18","X14072021_19","X14072021_20","X14072021_21","X14072021_22","X14072021_23","X14072021_24","X14072021_25","X14072021_26","X15072021_01","X15072021_02","X15072021_03","X15072021_04","X15072021_05","X15072021_06","X15072021_07","X15072021_08","X15072021_09","X15072021_10","X15072021_11","X15072021_12","X15072021_13","X15072021_14","X21072021_01","X21072021_02","X21072021_03","X21072021_04","X21072021_05","X21072021_06","X21072021_07","X21072021_08","X21072021_09","X21072021_10","X21072021_11","X21072021_12","X21072021_13","X21072021_14","X21072021_15","X21072021_16","X21072021_17","X21072021_18","X21072021_19","X21072021_20","X21072021_21","X21072021_22","X21072021_23","X21072021_24","X21072021_25","X21072021_26","X21072021_27","X21072021_28","X21072021_29","X21072021_30","X21072021_31","X21072021_32","X21072021_33","X21072021_34","X21072021_35","X21072021_36","X21072021_37","X21072021_38","X21072021_39","X21072021_40","X21072021_41","X21072021_42","X21072021_43","X21072021_44","X21072021_45","X21072021_46","X21072021_47","X21072021_48","X21072021_49","X21072021_50","X21072021_51","X21072021_52","X21072021_53","X21072021_54","X21072021_55","X21072021_56","X27072021_01","X27072021_01.xlsx","X27072021_02","X27072021_03","X27072021_04","X27072021_05","X27072021_06","X27072021_07","X27072021_08","X27072021_09","X27072021_10","X27072021_11","X27072021_12"
"4","Abarca, Damaris","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","1","0","1",NA,NA,"1","1",NA,"0","0","1","1","1","1",NA,"0","1","0","1","1","1","1","1","1","1","1","1",NA,NA,NA,"1",NA,"0",NA,"0","0","1","1","1","1","1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","0","0","0","1","0","1","1","0","1","0","0","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0"
"5","Abarca, Jorge","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","1","1","0","1","1","1","1","0","1","1","1","0","1","1","0","0","1","0","0","0","0","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"0",NA,"0","0","1","1","1","1",NA,"1",NA,"0","0","1","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","0",NA,NA,"1",NA,"1","1",NA,"1",NA,NA,"1","0",NA,"0","1",NA,"1","1","1",NA,"0","1","1","1","1","0","0",NA,"0","0","1","0","0","0","0","0"
"6","Achurra, Ignacio","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","1","0","0","1","1","1","0","0","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"0",NA,"0","0","1","1","1","1","1","1","0","0","1","1","1","0","1","0","1","1","1","1",NA,"1","0","0","0","0","0","1","1","1","1","0","1","0","0","0","1","0","1","1","0","1","0","0","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0"
"7","Aguilera, Tiare","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","0","0","0","1","0","1",NA,"1","0","1","1","0","0","0","0",NA,"1","0","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1",NA,NA,NA,NA,"1","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","1",NA,"1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","1",NA,NA,NA,"1","1","1","1","1",NA,NA,NA,"1","0","0","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1"
"8","Alvarado, Gloria","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1","1","0","0","1",NA,"1","0","0","1","0","0","1","0","0","1","0","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1",NA,"1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0",NA,"0",NA,"0","0","1","1","1","1","1",NA,"1","0","1","1","1","0","1","0","1","1","1","1","0","1","0","0","0","0","0","1","1","1","1","0","1","0","0","1","1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","Alvarez, Julio","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0",NA,NA,"1","0","1","1","0","0","1","1","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","1","1","0",NA,NA,"1","1","1","1","1","1",NA,"0",NA,NA,NA,"0",NA,"0",NA,"1","0","1","1","0","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","1","0","1","0","0","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","0","1","1","1","1","0","0"
"10","Alvarez, Rodrigo","1","1","1","1","0","0","1","1","0","0","0","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","0","0","0","0","1","1","1","1",NA,NA,"0","0","0",NA,"0","0","0","0","1","1","0","0","0","0","1","1","1","1","0","1","1",NA,"0",NA,NA,"0","0","1","1","0","1","1",NA,"0","1","0","1",NA,NA,"0","1","1",NA,"1","0","1","1","1","0","1","1","1","1","1",NA,"1","0",NA,"1","0",NA,NA,"0","0","1",NA,"0","0",NA,NA,"0","0","1",NA,"1",NA,"1","1",NA,"1",NA,"1",NA,NA,"1","1","0","0",NA,"0","0",NA,"0","1","0","0","1"
"11","Alvez, Amaya","1","1","1","1","1",NA,"0","1","1","1","1","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","1","1",NA,"1","1",NA,"0","0","1","1","1","1",NA,"0","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,"0",NA,"0","0","1","1","1","1","1","1","0","0","1","1","1","0","1",NA,"1","1","1","1",NA,"1","0","0","0","0","0","1","1","1","1","0","1","0","0","0","1","0","1","1","0","1","0","0","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0"
"12","Ampuero, Adriana","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","1",NA,"1","0","0","1","0","0","1","0","0","1","0","0","1","1","1","0","1","1","1","1","0","1","0","0","0","0","1","1","1","0","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1",NA,"0","0",NA,"0","0","0","0","0","1","1","1","1","1","0","1","0","1","1","1","0","1","0","1","1","1","1",NA,"1","0","0","0","0","0","1","1","1","1","0","1","0","0","1","1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1"
"13","Andrade, Cristóbal","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1","0","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","1","1","1","1","1","0","1","0","1","1","1","0","1","0","1","1","1","1","0","1","0","0","0","0","0","1","1","1","1","0","1","0","0","1","1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1"
